Update: 84, Reward_mean: -0.2830944195213514, Loss: [0.040131594985723495]
Update: 85, Reward_mean: -0.23689152063018873, Loss: [0.109217569231987]
Update: 86, Reward_mean: -0.12526651539510567, Loss: [0.1279032826423645]
Update: 87, Reward_mean: -0.24156896292084132, Loss: [0.0855102390050888]
Update: 88, Reward_mean: -0.4090879768175506, Loss: [0.0016700327396392822]
Update: 89, Reward_mean: -0.3224734631829827, Loss: [0.039368290454149246]
Update: 90, Reward_mean: -0.4263782188920603, Loss: [0.0530470609664917]
Update: 91, Reward_mean: -0.27869619801201007, Loss: [0.0836794376373291]
Update: 92, Reward_mean: -0.3889274185065922, Loss: [0.03118206560611725]
Update: 93, Reward_mean: -0.19042740861748775, Loss: [0.11725404858589172]
Update: 94, Reward_mean: -0.39439739228288406, Loss: [-0.007256176322698593]
Update: 95, Reward_mean: -0.3829550725840797, Loss: [0.07007370889186859]
Update: 96, Reward_mean: -0.35120559441200916, Loss: [0.02625081315636635]
Update: 97, Reward_mean: -0.22168409003555706, Loss: [0.05120828002691269]
Update: 98, Reward_mean: -0.22455100497799332, Loss: [0.08728483319282532]
Update: 99, Reward_mean: -0.10131752062758072, Loss: [0.12483322620391846]
Update: 100, Reward_mean: -0.1742627341464144, Loss: [0.04225752875208855]
Update: 101, Reward_mean: -0.3287169288288881, Loss: [0.06296300888061523]
Update: 102, Reward_mean: -0.49143270767274944, Loss: [0.06874828785657883]
Update: 103, Reward_mean: -0.24345821445615987, Loss: [0.10670694708824158]
Update: 104, Reward_mean: -0.35140866966783485, Loss: [0.008490301668643951]
Update: 105, Reward_mean: -0.16836438992802463, Loss: [0.07401093095541]
Update: 106, Reward_mean: -0.24315702794923774, Loss: [0.04792461916804314]
Update: 107, Reward_mean: -0.19418150359608424, Loss: [0.038181718438863754]
Update: 108, Reward_mean: -0.3146088824700652, Loss: [0.02295541949570179]
Update: 109, Reward_mean: -0.20807304596197382, Loss: [0.14622047543525696]
Update: 110, Reward_mean: -0.30929122438289136, Loss: [0.06892749667167664]
Update: 111, Reward_mean: -0.18872418502555827, Loss: [0.09001735597848892]
Update: 112, Reward_mean: -0.2520759882107082, Loss: [0.0011194907128810883]
Update: 113, Reward_mean: -0.2410809422517101, Loss: [0.05559784546494484]
Update: 114, Reward_mean: -0.3372125537099451, Loss: [0.04301955923438072]
Update: 115, Reward_mean: -0.23234034420976882, Loss: [0.008244611322879791]
Update: 116, Reward_mean: -0.262593867959686, Loss: [-0.02410639449954033]
Update: 117, Reward_mean: -0.310295605749789, Loss: [-0.02189990133047104]
Update: 118, Reward_mean: -0.4500594654326628, Loss: [0.016447678208351135]
Update: 119, Reward_mean: -0.4400394008623593, Loss: [-0.010164331644773483]
Update: 120, Reward_mean: -0.2652380315765272, Loss: [0.0574374757707119]
Update: 121, Reward_mean: -0.3611939575133856, Loss: [0.02537447214126587]
Update: 122, Reward_mean: -0.3285274719916337, Loss: [0.008279738016426563]
